category,name,price,meal__info,meal__choose,attribute,sidedishes_list,dropdown,dropdown2
Fischgerichte,Riesencrevetten (10 Stück),"32,00 CHF","mit Tomaten, Knoblauchsauce, frische Tomaten, Olivenöl und einer Beilage nach Wahl","Wahl aus: mi Röstikroketten, mit Pommes frites, mit Salatgarnitur, mit Teigwaren, ohne Beilage und mehr.",,[],"mi Röstikroketten, mit Pommes frites, mit Salatgarnitur, mit Teigwaren, ohne Beilage",
Fischgerichte,Fischknusperli (10 Stück),"24,00 CHF","mit Pangasius, Tartarsauce und einer Beilage nach Wahl","Wahl aus: mi Röstikroketten, mit Pommes frites, mit Salatgarnitur, mit Teigwaren, ohne Beilage und mehr.",,[],"mi Röstikroketten, mit Pommes frites, mit Salatgarnitur, mit Teigwaren, ohne Beilage",
Snacks,Cevapcici (10 Stück),"20,00 CHF",mit einer Beilage und Sauce nach Wahl,"Wahl aus: mit Pommes frites, mit Salat und French-Dressing, mit Salat und Italian-Dressing, ohne Beilage und mehr.",,[],"mit Pommes frites, mit Salat und French-Dressing, mit Salat und Italian-Dressing, ohne Beilage",mit Salat und Italian-Dressing
Snacks,Chicken Nuggets (10 Stück),"20,00 CHF",mit einer Beilage und Sauce nach Wahl,"Wahl aus: mit Pommes frites, mit Salat und French-Dressing, mit Salat und Italian-Dressing, ohne Beilage und mehr.",,[],,
Snacks,Chicken Nuggets (14 Stück),"25,00 CHF",mit einer Beilage und Sauce nach Wahl,"Wahl aus: mit Pommes frites, mit Salat und French-Dressing, mit Salat und Italian-Dressing, ohne Beilage und mehr.",,[],"mit Pommes frites, mit Salat und French-Dressing, mit Salat und Italian-Dressing, ohne Beilage",mit Salat und Italian-Dressing
Snacks,Pouletflügeli (7 Stück),"19,00 CHF",mit einer Beilage und Sauce nach Wahl,"Wahl aus: mit Pommes frites, mit Salat und French-Dressing, mit Salat und Italien-Dressing, ohne Beilage und mehr.",,[],"mit Pommes frites, mit Salat und French-Dressing, mit Salat und Italien-Dressing, ohne Beilage",mit Salat und Italien-Dressing
Snacks,Pommes frites,"7,50 CHF",mit einer Sauce nach Wahl,,,[],,
Dessert,Tiramisu,"7,50 CHF",mit einer Sauce nach Wahl,,,[],,
Dessert,Mousse au Chocolat,"7,50 CHF",mit einer Sauce nach Wahl,,,[],,
Dessert,Iglou Caramel,"7,50 CHF",mit einer Sauce nach Wahl,,,[],,
Ben & Jerry's,Ben & Jerry's Strawberry Cheesecake 100ml,"6,50 CHF",mit einer Sauce nach Wahl,,"65,00 CHF/l0,100l",[],,
Ben & Jerry's,Ben & Jerry's Chocolate Fudge Brownie 100ml,"6,50 CHF",mit einer Sauce nach Wahl,,"65,00 CHF/l0,100l",[],,
Ben & Jerry's,Ben & Jerry's Cookie Dough 100ml,"6,50 CHF",mit einer Sauce nach Wahl,,"65,00 CHF/l0,100l",[],,
Ben & Jerry's,Ben & Jerry's Caramel Chew Chew 100ml,"6,50 CHF",mit einer Sauce nach Wahl,,"65,00 CHF/l0,100l",[],,
Alkoholfreie Getränke,"Coca Cola 0,45l","4,00 CHF",mit einer Sauce nach Wahl,,"Enthält Koffein (10,0 mg/100 ml)",[],,
Alkoholfreie Getränke,"Coca Cola 1,5l","6,00 CHF",mit einer Sauce nach Wahl,,"Enthält Koffein (10,0 mg/100 ml)",[],,
Alkoholfreie Getränke,"Coca Cola zero 0,45l","4,00 CHF",mit einer Sauce nach Wahl,,"Enthält Koffein (10,0 mg/100 ml)",[],,
Alkoholfreie Getränke,"Coca Cola zero 1,5l","6,00 CHF",mit einer Sauce nach Wahl,,"Enthält Koffein (10,0 mg/100 ml)",[],,
Alkoholfreie Getränke,"Fanta 0,45l","4,00 CHF",mit einer Sauce nach Wahl,,"8,89 CHF/l0,450l",[],,
Alkoholfreie Getränke,"Fanta 1,5l","6,00 CHF",mit einer Sauce nach Wahl,,"4,00 CHF/l1,500l",[],,
Alkoholfreie Getränke,"Sprite 0,45l","4,00 CHF",mit einer Sauce nach Wahl,,"8,89 CHF/l0,450l",[],,
Alkoholfreie Getränke,"Sprite 1,5l","6,00 CHF",mit einer Sauce nach Wahl,,"4,00 CHF/l1,500l",[],,
Alkoholfreie Getränke,"Rivella Rot 0,5l","4,00 CHF",mit einer Sauce nach Wahl,,"8,00 CHF/l0,500l",[],,
Alkoholfreie Getränke,"Rivella Rot 1,5l","6,00 CHF",mit einer Sauce nach Wahl,,"4,00 CHF/l1,500l",[],,
Alkoholfreie Getränke,"Eistee 0,5l","4,00 CHF",mit einer Sauce nach Wahl,,"Enthält Koffein (25,0 mg/100 ml)",[],,
Alkoholfreie Getränke,"Eistee 1,5l","6,00 CHF",mit einer Sauce nach Wahl,,"Enthält Koffein (25,0 mg/100 ml)",[],,
Alkoholfreie Getränke,"Mineralwasser ohne Kohlensäure 1,5l","6,00 CHF",mit einer Sauce nach Wahl,,"4,00 CHF/l1,500l",[],,
Alkoholfreie Getränke,"Mineralwasser mit Kohlensäure 1,5l","6,00 CHF",mit einer Sauce nach Wahl,,"4,00 CHF/l1,500l",[],,
Alkoholfreie Getränke,"Red Bull 0,25l","5,00 CHF",mit einer Sauce nach Wahl,,"Enthält Koffein (32,0 mg/100 ml)",[],,
Alkoholische Getränke,"Feldschlösschen 0,5l","5,00 CHF",mit einer Sauce nach Wahl,,"4,7% vol",[],,
Alkoholische Getränke,"Heineken 0,5l","5,00 CHF",mit einer Sauce nach Wahl,,"5,0% vol",[],,
Alkoholische Getränke,"Appenzeller 0,5l","5,00 CHF",mit einer Sauce nach Wahl,,"38,0% vol",[],,
Alkoholische Getränke,"Fechy 0,5l","14,00 CHF",mit einer Sauce nach Wahl,,"38,0% vol",[],,
Alkoholische Getränke,"Chardonnay 0,5l","13,00 CHF",mit einer Sauce nach Wahl,,"9,7% vol",[],,
Alkoholische Getränke,"Pinot Grigio 0,5l","13,00 CHF",mit einer Sauce nach Wahl,,"10,0% vol",[],,
Alkoholische Getränke,"Montepulciano 0,5l","12,00 CHF",mit einer Sauce nach Wahl,,"10,0% vol",[],,
Alkoholische Getränke,"Merlot 0,5l","12,00 CHF",mit einer Sauce nach Wahl,,"10,0% vol",[],,
Alkoholische Getränke,"Rose 0,5l","12,00 CHF",mit einer Sauce nach Wahl,,"9,7% vol",[],,
